N,M,P,epoch,dstsp,dh,fixed_points,max_eigenvalues,max_lyapunov_exponent,unique_regions,frequencies
4,12,3,0,nan,0.54543287,"[[0.02328796125948429, -0.010700315237045288, 0.056938286870718, 0.012710513547062874, 0.022265885025262833, 0.012603117153048515, -0.010626948438584805, 0.021358409896492958, 0.0003392077051103115, -0.029685726389288902, -0.002696286654099822, 0.022298293188214302], [0.028710680082440376, -0.05457649379968643, 0.08813057839870453, 0.015113582834601402, 0.02090492658317089, 0.024361565709114075, -0.013716901652514935, 0.03055209293961525, -0.005352463573217392, -0.051145993173122406, -0.016153942793607712, 0.043861426413059235], [0.025346150621771812, -0.0330793559551239, 0.05503462627530098, 0.01835964433848858, 0.026581859216094017, 0.023947853595018387, -0.01209521945565939, 0.008380694314837456, -0.0036179269663989544, -0.036587394773960114, -0.005691220052540302, 0.012629681266844273], [0.023699121549725533, -0.018766392022371292, 0.04792844504117966, 0.016813594847917557, 0.02616259828209877, 0.019190780818462372, -0.011105804704129696, 0.008425517939031124, -0.0015796162188053131, -0.030283575877547264, -0.0019677963573485613, 0.009156313724815845], [0.024114906787872314, -0.022515971213579178, 0.050479840487241745, 0.01682865247130394, 0.02778635174036026, 0.021886445581912994, -0.010997099801898003, 0.008730815723538399, -0.002531183883547783, -0.03260471671819687, -0.0032280688174068928, 0.009272951632738113]]","[0.839635968208313, 0.948401153087616, 0.9307270646095276, 0.9103575348854065, 0.9394276142120361]",-0.09491752920672297,"[[1, 1, 1], [1, 1, 0], [0, 1, 0], [0, 1, 1], [0, 0, 1]]","[1, 38, 2, 15, 1944]"
4,12,3,5,nan,0.20672601,"[[0.3117367625236511, 0.4979448914527893, 0.3320483863353729, 0.22567245364189148, 0.27581343054771423, -0.022917618975043297, -0.1584116369485855, 0.08458608388900757, 0.1254217028617859, -0.09442393481731415, 0.16675713658332825, 0.3658999502658844], [0.7773006558418274, 0.7056823968887329, -0.17997127771377563, 0.20656032860279083, -0.030765727162361145, -0.062037743628025055, -0.23047730326652527, -0.48021388053894043, 0.13198450207710266, 0.10696578025817871, 0.26792824268341064, -0.38077154755592346]]","[1.023314356803894, 1.0271682739257812]",0.01977737353183329,"[[1, 1, 1], [1, 1, 0]]","[5, 1995]"
4,12,3,10,12.78996753692627,0.021797717,"[[0.2215222865343094, 0.5595217943191528, 0.46025359630584717, 0.04708339273929596, 0.11642403900623322, -0.06624297797679901, -0.05404352396726608, 0.2639538645744324, 0.09765741974115372, -0.07511766254901886, 0.2032587230205536, 0.5691639184951782], [0.3318571448326111, 0.3329280614852905, 0.33220386505126953, 0.3337375819683075, 0.44720518589019775, 0.12099919468164444, -0.2032356858253479, 0.0430912971496582, 0.12036386132240295, -0.2495368868112564, 0.16516068577766418, 0.3913666307926178], [0.3126182556152344, -0.274309903383255, 0.2898181974887848, 0.7276594638824463, 0.9049769639968872, 0.4054185748100281, -0.3691650331020355, -0.13350176811218262, 0.10907870531082153, -0.5742257237434387, -0.013960056006908417, 0.25601768493652344]]","[1.0177489519119263, 1.0006083250045776, 0.9611219167709351]",0.0076515021856175735,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[223, 1501, 276]"
4,12,3,15,8.888906478881836,0.023285333,"[[0.2450120449066162, 0.5593758821487427, 0.4433020055294037, 0.05192872881889343, 0.1094948798418045, -0.06158649921417236, -0.065578393638134, 0.21926544606685638, 0.1036352813243866, -0.06891132146120071, 0.21638230979442596, 0.5398375391960144], [0.3402518630027771, 0.3300868570804596, 0.32584720849990845, 0.3374171257019043, 0.43383872509002686, 0.12039490789175034, -0.20316749811172485, 0.01906830072402954, 0.12160421907901764, -0.24091756343841553, 0.17136292159557343, 0.3707651197910309], [0.3055242598056793, -0.23527200520038605, 0.2933363914489746, 0.721772313117981, 0.866287350654602, 0.38075628876686096, -0.35263147950172424, -0.13525943458080292, 0.11078324168920517, -0.5436438918113708, -0.0041677579283714294, 0.2479160577058792]]","[1.0151855945587158, 0.9997239112854004, 0.9609279036521912]",-0.0054748040832055265,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[5, 1964, 31]"
4,12,3,20,7.721430778503418,0.0120047135,"[[0.25633180141448975, 0.5643852353096008, 0.43257570266723633, 0.05605733394622803, 0.11239392310380936, -0.05770596116781235, -0.07245650142431259, 0.19892174005508423, 0.10767918080091476, -0.06455416977405548, 0.22375601530075073, 0.5334085822105408], [0.33599820733070374, 0.33333244919776917, 0.33075451850891113, 0.33443814516067505, 0.42759424448013306, 0.11659269034862518, -0.1987166851758957, 0.016741067171096802, 0.12073050439357758, -0.23244211077690125, 0.17647910118103027, 0.37300175428390503], [0.29952025413513184, -0.22153259813785553, 0.3044726252555847, 0.7156494855880737, 0.8430242538452148, 0.36521655321121216, -0.34040623903274536, -0.13420744240283966, 0.10790922492742538, -0.5243996381759644, 0.0018847063183784485, 0.24699868261814117]]","[1.0136011838912964, 0.999683678150177, 0.9617623686790466]",-0.005694004277538625,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[18, 1949, 33]"
4,12,3,25,7.276706218719482,0.011680944,"[[0.26958775520324707, 0.5633282661437988, 0.4191489815711975, 0.06248360872268677, 0.11559131741523743, -0.052632253617048264, -0.07895873486995697, 0.18157397210597992, 0.11040526628494263, -0.06302105635404587, 0.22525055706501007, 0.5239337682723999], [0.33561941981315613, 0.3314089775085449, 0.33049505949020386, 0.33531519770622253, 0.4253555238246918, 0.11625954508781433, -0.19731634855270386, 0.011517345905303955, 0.12029901146888733, -0.22819784283638, 0.17858904600143433, 0.37106719613075256], [0.29566219449043274, -0.2115146368741989, 0.31103628873825073, 0.708251416683197, 0.8230677843093872, 0.35370081663131714, -0.3317796587944031, -0.13571254909038544, 0.10613034665584564, -0.5092000961303711, 0.008034124970436096, 0.246172234416008]]","[1.0125484466552734, 0.9997704029083252, 0.9625952839851379]",-0.005631112126739026,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[30, 1929, 41]"
4,12,3,30,5.250105381011963,0.010278774,"[[0.2756575047969818, 0.565004289150238, 0.41309210658073425, 0.06483106315135956, 0.11820277571678162, -0.050681956112384796, -0.08163458108901978, 0.17505182325839996, 0.112058624625206, -0.06149403005838394, 0.2262154519557953, 0.5234169363975525], [0.3321482241153717, 0.33538174629211426, 0.3339495062828064, 0.3307713270187378, 0.42032143473625183, 0.11269690841436386, -0.19361788034439087, 0.013972640037536621, 0.11987777799367905, -0.22338084876537323, 0.18122459948062897, 0.3768063485622406], [0.2928789556026459, -0.20654046535491943, 0.3157924711704254, 0.7048048377037048, 0.8118584156036377, 0.3468796908855438, -0.3267457187175751, -0.13691288232803345, 0.10506754368543625, -0.5014705061912537, 0.012257739901542664, 0.24766947329044342]]","[1.0115083456039429, 0.9998397827148438, 0.9631994366645813]",-0.005574518365713175,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[75, 1874, 51]"
4,12,3,35,8.210151672363281,0.01873068,"[[0.28473520278930664, 0.5634322166442871, 0.40416571497917175, 0.06910605728626251, 0.12162094563245773, -0.04785126820206642, -0.08541373163461685, 0.16655102372169495, 0.11328564584255219, -0.061852917075157166, 0.22547703981399536, 0.5194368362426758], [0.3323245942592621, 0.33389970660209656, 0.3335443437099457, 0.33208173513412476, 0.4220762550830841, 0.11294747143983841, -0.193293496966362, 0.012425631284713745, 0.11966533958911896, -0.223877415060997, 0.18201351165771484, 0.37837451696395874], [0.28977280855178833, -0.20696961879730225, 0.3203338384628296, 0.7055639028549194, 0.8092009425163269, 0.34409773349761963, -0.3243584930896759, -0.13759846985340118, 0.10418330132961273, -0.500756025314331, 0.014775007963180542, 0.2501538395881653]]","[1.010658621788025, 0.999895453453064, 0.963656485080719]",-0.005447925732223666,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[192, 1732, 76]"
4,12,3,40,12.804900169372559,0.018145198,"[[0.2896873652935028, 0.5664870738983154, 0.4002401530742645, 0.06884373724460602, 0.12179683148860931, -0.0478120781481266, -0.08669651299715042, 0.16369664669036865, 0.11420078575611115, -0.06246621534228325, 0.2262967973947525, 0.520707368850708], [0.3334939479827881, 0.3334498405456543, 0.3329243063926697, 0.33308908343315125, 0.4233364462852478, 0.1132369190454483, -0.1933719366788864, 0.010641783475875854, 0.11962217837572098, -0.22569552063941956, 0.18310727179050446, 0.379689484834671], [0.292203426361084, -0.20405378937721252, 0.3202287256717682, 0.7050843238830566, 0.8042752742767334, 0.3414854109287262, -0.3231935501098633, -0.14130213856697083, 0.10390817373991013, -0.49886518716812134, 0.018085550516843796, 0.24897684156894684]]","[1.010237693786621, 0.9999448657035828, 0.9639485478401184]",-0.007701764188495872,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[211, 1657, 132]"
4,12,3,45,12.840326309204102,0.019179773,"[[0.2909364402294159, 0.5700700283050537, 0.4002094268798828, 0.06535442173480988, 0.11969545483589172, -0.04936830699443817, -0.08576838672161102, 0.16520844399929047, 0.11434019356966019, -0.06327486783266068, 0.22730693221092224, 0.5247384905815125], [0.33151620626449585, 0.33499303460121155, 0.335058331489563, 0.33089715242385864, 0.42243692278862, 0.11170507967472076, -0.1915513128042221, 0.01293511688709259, 0.11916273832321167, -0.22732460498809814, 0.18453145027160645, 0.38400590419769287], [0.2906332015991211, -0.2034311443567276, 0.3218314051628113, 0.7050825953483582, 0.801695704460144, 0.339188814163208, -0.3215564489364624, -0.14191263914108276, 0.10336107015609741, -0.49919259548187256, 0.019947156310081482, 0.2504315972328186]]","[1.0099024772644043, 0.9999909400939941, 0.9642423987388611]",-0.006968303126195678,"[[1, 1, 1], [0, 1, 1], [0, 1, 0]]","[230, 1608, 162]"
