N,M,P,epoch,dstsp,dh,fixed_points,max_eigenvalues,max_lyapunov_exponent,unique_regions,frequencies
4,12,2,0,11.784046173095703,0.035460748,"[[0.11345836520195007, 0.07270678877830505, 0.48933202028274536, 0.31508082151412964, 0.10938170552253723, -0.01327088475227356, 0.11109954118728638, 0.4051685333251953, -0.35096198320388794, 0.3068995773792267, -0.04618734121322632, 0.32455921173095703], [0.14534831047058105, 0.14664369821548462, 0.39401674270629883, 0.4297541379928589, 0.19386710226535797, 0.027203679084777832, 0.11189480125904083, 0.3662183880805969, -0.4042690396308899, 0.30928629636764526, -0.02390572428703308, 0.3153279721736908]]","[0.9878234267234802, 1.005506992340088]",0.001411681945901364,"[[1, 1], [0, 1]]","[346, 1004]"
4,12,2,20,11.618663787841797,0.044759825,"[[0.07620102167129517, 0.03290305286645889, 0.4647788405418396, 0.36003369092941284, 0.10076245665550232, 0.00033092498779296875, 0.12509754300117493, 0.41277068853378296, -0.36182406544685364, 0.26571106910705566, -0.013140499591827393, 0.2900260388851166], [0.09509623050689697, 0.06744027137756348, 0.43491771817207336, 0.3918149173259735, 0.12750756740570068, 0.007048353552818298, 0.12706691026687622, 0.40415388345718384, -0.3745309114456177, 0.2556411623954773, -0.009820371866226196, 0.2961385250091553]]","[0.9874780774116516, 1.0202561616897583]",-0.01625816436673631,"[[1, 1], [0, 1]]","[686, 664]"
4,12,2,40,11.60805606842041,0.047697127,"[[0.08819511532783508, 0.042859457433223724, 0.4990689754486084, 0.33070945739746094, 0.08429723978042603, -0.018304049968719482, 0.1314161717891693, 0.43282997608184814, -0.3522387742996216, 0.24789920449256897, -0.03620743751525879, 0.3154621422290802], [0.13940894603729248, 0.13744449615478516, 0.41445812582969666, 0.41520148515701294, 0.15748250484466553, -0.0028475522994995117, 0.1367150992155075, 0.41148287057876587, -0.3832527995109558, 0.21129316091537476, -0.0232105553150177, 0.3326267600059509]]","[0.9870676398277283, 1.02218496799469]",0.028615864167040855,"[[1, 1], [0, 1]]","[713, 637]"
4,12,2,60,13.310185432434082,0.045380127,"[[0.07680651545524597, 0.028317615389823914, 0.48467928171157837, 0.35025572776794434, 0.0854402482509613, -0.006888628005981445, 0.13096199929714203, 0.4206657409667969, -0.3569446802139282, 0.25620514154434204, -0.018376827239990234, 0.2967066168785095], [0.09727716445922852, 0.06775069236755371, 0.4451467990875244, 0.3888967037200928, 0.11803394556045532, 0.0006672441959381104, 0.1327824890613556, 0.41036760807037354, -0.3700454533100128, 0.23972034454345703, -0.009046077728271484, 0.30173778533935547]]","[0.9879254698753357, 1.0233880281448364]",-0.018142565523739905,"[[1, 1], [0, 1]]","[756, 594]"
4,12,2,80,11.492799758911133,0.040369622,"[[0.08345067501068115, 0.030226483941078186, 0.5082342624664307, 0.3315914273262024, 0.0767785906791687, -0.01926630735397339, 0.133332759141922, 0.43454188108444214, -0.3536974787712097, 0.25087037682533264, -0.03366231918334961, 0.3121408224105835], [0.11537337303161621, 0.09378814697265625, 0.4402557909488678, 0.3970406651496887, 0.13125312328338623, -0.006263017654418945, 0.13579623401165009, 0.41659513115882874, -0.3743872046470642, 0.2229928970336914, -0.013514786958694458, 0.3180798888206482]]","[0.9887128472328186, 1.0247561931610107]",-0.017096901535405776,"[[1, 1], [0, 1]]","[777, 573]"
4,12,2,100,11.511259078979492,0.02988574,"[[0.08508214354515076, 0.03260567784309387, 0.5080716013908386, 0.33294183015823364, 0.07749724388122559, -0.01979982852935791, 0.1339932382106781, 0.43496832251548767, -0.3548137843608856, 0.2493700236082077, -0.03416222333908081, 0.31371378898620605], [0.11665976047515869, 0.0957796573638916, 0.44040390849113464, 0.39749571681022644, 0.13184159994125366, -0.007711917161941528, 0.13620778918266296, 0.4177784323692322, -0.3745332360267639, 0.22036617994308472, -0.012630224227905273, 0.3197835683822632]]","[0.9885108470916748, 1.025976538658142]",-0.01657200444024056,"[[1, 1], [0, 1]]","[782, 568]"
4,12,2,120,11.515951156616211,0.036176275,"[[0.08547103404998779, 0.032539039850234985, 0.5107161402702332, 0.33114510774612427, 0.0764940083026886, -0.021030187606811523, 0.13427190482616425, 0.43656784296035767, -0.35511618852615356, 0.24851198494434357, -0.03676360845565796, 0.31532132625579834], [0.1187441349029541, 0.09928250312805176, 0.439119428396225, 0.3991107642650604, 0.134022057056427, -0.008782356977462769, 0.13649040460586548, 0.4187689423561096, -0.3753814101219177, 0.21715694665908813, -0.012791574001312256, 0.3217817544937134]]","[0.9886820912361145, 1.0261836051940918]",-0.016291880602948366,"[[1, 1], [0, 1]]","[791, 559]"
4,12,2,140,11.521383285522461,0.03480945,"[[0.08481588959693909, 0.030137285590171814, 0.5129527449607849, 0.32963651418685913, 0.07477045059204102, -0.0215531587600708, 0.13429686427116394, 0.43715643882751465, -0.3549199104309082, 0.24968305230140686, -0.03753459453582764, 0.3152211904525757], [0.11779654026031494, 0.09674596786499023, 0.4409525394439697, 0.3977964222431183, 0.13239550590515137, -0.00942036509513855, 0.13639508187770844, 0.419355571269989, -0.37485674023628235, 0.2180485725402832, -0.012440621852874756, 0.3214123249053955]]","[0.9886901378631592, 1.0265147686004639]",-0.01599254947155714,"[[1, 1], [0, 1]]","[797, 553]"
4,12,2,160,11.497044563293457,0.038176537,"[[0.08499598503112793, 0.03032456338405609, 0.5124362111091614, 0.3305969834327698, 0.07506102323532104, -0.02125483751296997, 0.13440559804439545, 0.43691492080688477, -0.3554667830467224, 0.24979564547538757, -0.03724801540374756, 0.31511247158050537], [0.11617588996887207, 0.09398770332336426, 0.4421694278717041, 0.397047221660614, 0.13071298599243164, -0.009172648191452026, 0.13630689680576324, 0.4193088412284851, -0.374591588973999, 0.2195398211479187, -0.011747688055038452, 0.32023972272872925]]","[0.9888435006141663, 1.0266056060791016]",-0.015690530613064767,"[[1, 1], [0, 1]]","[805, 545]"
4,12,2,180,11.526077270507812,0.036550943,"[[0.08778420090675354, 0.03366115689277649, 0.5144197344779968, 0.3288283348083496, 0.07591482996940613, -0.023286640644073486, 0.13472455739974976, 0.4389776587486267, -0.35563212633132935, 0.24732258915901184, -0.03986668586730957, 0.3186357021331787], [0.12142753601074219, 0.10218441486358643, 0.43933629989624023, 0.39972829818725586, 0.13561397790908813, -0.010706514120101929, 0.13675463199615479, 0.4204270839691162, -0.37592998147010803, 0.21448975801467896, -0.012467354536056519, 0.3244979977607727]]","[0.9888033270835876, 1.0267434120178223]",-0.015646136775612832,"[[1, 1], [0, 1]]","[804, 546]"
